"customer_id","first_name","last_name","sum","email"
148,"Eleanor","Hunt",211.55,"eleanor.hunt@sakilacustomer.org"
526,"Karl","Seal",208.58,"karl.seal@sakilacustomer.org"
178,"Marion","Snyder",194.61,"marion.snyder@sakilacustomer.org"
137,"Rhonda","Kennedy",191.62,"rhonda.kennedy@sakilacustomer.org"
144,"Clara","Shaw",189.6,"clara.shaw@sakilacustomer.org"
459,"Tommy","Collazo",183.63,"tommy.collazo@sakilacustomer.org"
181,"Ana","Bradley",167.67,"ana.bradley@sakilacustomer.org"
410,"Curtis","Irby",167.62,"curtis.irby@sakilacustomer.org"
236,"Marcia","Dean",166.61,"marcia.dean@sakilacustomer.org"
403,"Mike","Way",162.67,"mike.way@sakilacustomer.org"
